TOWN;LON;LAT;MEDV;CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
Melrose;-71.042;422.796;23.6;0.0566;0;3.41;0;0.489;70.070.000.000.000.000;86.3;34.217;2;270;17.8;396.9;5.5
Melrose;-710.345;422.785;28.7;0.053020000000000005;0;3.41;0;0.489;7.079;63.1;34.145;2;270;17.8;396.06;5.7
Melrose;-71.03;42.272;22.6;0.04684;0;3.41;0;0.489;6.417.000.000.000.000;66.1;30.923;2;270;17.8;392.18;8.81
Melrose;-710.425;422.715;22;0.03932;0;3.41;0;0.489;6.405;73.9;30.921;2;270;17.8;393.55;8.2
Stoneham;-71.053;42.283;22.9;0.04203;28;15.04;0;0.464;6.442;53.6;36.659;4;270;18.2;395.01;8.16
Stoneham;-71.062;4.229.600.000.000.000;25;0.02875;28;15.04;0;0.464;6.211;28.9;36.659;4;270;18.2;396.33;6.21
Stoneham;-710.615;42.284;20.6;0.04294;28;15.04;0;0.464;6.249;77.3;3.615;4;270;18.2;396.9;10.59
Winchester;-7.107.600.000.000.000;422.775;28.4;0.12204;0;2.89;0;0.445;6.625;57.8;34.952;2;276;18;357.98;6.65
Winchester;-71.085;422.775;21.4;0.11504;0;2.89;0;0.445;61.629.999.999.999.900;69.6;34.952;2;276;18;391.83;11.34
Winchester;-71.089;422.715;38.7;0.12083;0;2.89;0;0.445;8.068.999.999.999.990;76;34.952;2;276;18;396.9;4.21
Winchester;-710.982;422.685;43.8;0.08187;0;2.89;0;0.445;7.82;36.9;34.952;2;276;18;393.53;3.57
Winchester;-71.08;42.268;33.2;0.0686;0;2.89;0;0.445;7.416;62.5;34.952;2;276;18;396.9;6.19
Medford;-710.668;422.545;27.5;0.14866;0;8.56;0;0.52;6.727;79.9;27.778;5;384;20.9;394.76;9.42
Medford;-71.081;42.245;26.5;0.11432;0;8.56;0;0.52;67.810.000.000.000.000;71.3;28.561;5;384;20.9;395.58;7.67
Medford;-710.812;422.515;18.6;0.22876;0;8.56;0;0.52;6.405;85.4;27.147;5;384;20.9;70.8;10.63
Medford;-71.077;42.248.999.999.999.900;19.3;0.21161;0;8.56;0;0.52;61.370.000.000.000.000;87.4;27.147;5;384;20.9;394.47;13.44
Medford;-71.069;42.248.000.000.000.000;20.1;0.1396;0;8.56;0;0.52;6.167.000.000.000.000;90;2.421;5;384;20.9;392.69;12.33
Medford;-710.662;422.425;19.5;0.13262000000000002;0;8.56;0;0.52;5.851;96.7;21.069;5;384;20.9;394.05;16.47
Medford;-710.622;422.431;19.5;0.1712;0;8.56;0;0.52;5.836;91.9;2.211;5;384;20.9;395.67;18.66
Medford;-710.553;422.465;20.4;0.13117;0;8.56;0;0.52;6.127.000.000.000.000;85.2;21.224;5;384;20.9;387.69;14.09
Medford;-71.055;422.505;19.8;0.12802;0;8.56;0;0.52;6.474;97.1;24.329;5;384;20.9;395.24;12.27
Medford;-71.06;42.254;19.4;0.26363000000000003;0;8.56;0;0.52;6.229;91.2;25.451;5;384;20.9;391.23;15.55
Medford;-71.056;422.605;21.7;0.10793;0;8.56;0;0.52;6.195;54.4;27.778;5;384;20.9;393.49;13
Malden;-710.475;42.261;22.8;0.10084;0;10.01;0;0.547;6.715;81.6;26.775;6;432;17.8;395.59;10.16
Malden;-7.104.899.999.999.990;42.253;18.8;0.12329;0;10.01;0;0.547;59.129.999.999.999.900;92.9;23.534;6;432;17.8;394.95;16.21
Malden;-710.428;42.258;18.7;0.22212;0;10.01;0;0.547;60.920.000.000.000.000;95.4;2.548;6;432;17.8;396.9;17.09
Malden;-710.396;422.512;18.5;0.14231;0;10.01;0;0.547;6.254;84.2;22.565;6;432;17.8;388.74;10.45
Malden;-710.355;422.545;18.3;0.17134000000000002;0;10.01;0;0.547;5.928;88.2;24.631;6;432;17.8;344.91;15.76
Malden;-71.036;422.608;21.2;0.13158;0;10.01;0;0.547;6.176;72.5;27.301;6;432;17.8;393.3;12.04
Malden;-710.285;42.262;19.2;0.15098;0;10.01;0;0.547;6.021;82.6;27.474;6;432;17.8;394.51;10.3
Malden;-710.285;42.258;20.4;0.13058;0;10.01;0;0.547;5.872.000.000.000.000;73.1;24.775;6;432;17.8;338.63;15.37
Malden;-7.101.899.999.999.990;422.605;19.3;0.14476;0;10.01;0;0.547;5.731;65.2;27.592;6;432;17.8;391.5;13.61
Everett;-710.243;422.483;22;0.06899;0;25.65;0;0.581;5.87;69.7;22.577;2;188;19.1;389.15;14.37
Everett;-710.312;422.505;20.3;0.07165;0;25.65;0;0.581;6.004;84.1;21.974;2;188;19.1;377.67;14.27
Everett;-710.377;42.247;20.5;0.09299;0;25.65;0;0.581;5.961;92.9;20.869;2;188;19.1;378.09;17.93
Everett;-7.103.699.999.999.990;422.435;17.3;0.15038;0;25.65;0;0.581;5.856;97;19.444;2;188;19.1;370.31;25.41
Everett;-710.308;42.245;18.8;0.09849;0;25.65;0;0.581;5.879;95.8;20.063;2;188;19.1;379.38;17.58
Everett;-710.262;422.431;21.4;0.16902;0;25.65;0;0.581;59.860.000.000.000.000;88.4;19.929;2;188;19.1;385.02;14.81
Everett;-710.333;422.395;15.7;0.38735;0;25.65;0;0.581;5.613;95.6;17.572;2;188;19.1;359.29;27.26
Somerville;-71.053;422.355;16.2;0.25915;0;21.89;0;0.624;5.693;96;17.883;4;437;21.2;392.11;17.19
Somerville;-71.058;42.235;18;0.32543;0;21.89;0;0.624;6.431;98.8;18.125;4;437;21.2;396.9;15.39
Somerville;-710.638;422.368;14.3;0.88125;0;21.89;0;0.624;56.370.000.000.000.000;94.7;19.799;4;437;21.2;396.9;18.34
Somerville;-710.692;42.239;19.2;0.34006;0;21.89;0;0.624;6.457.999.999.999.990;98.9;21.185;4;437;21.2;395.04;12.6
Somerville;-71.075;42.24;19.6;119.294;0;21.89;0;0.624;63.260.000.000.000.000;97.7;2.271;4;437;21.2;396.9;12.26
Somerville;-710.745;422.405;23;0.59005;0;21.89;0;0.624;6.372.000.000.000.000;97.9;23.274;4;437;21.2;385.76;11.12
Somerville;-71.079;42.245;18.4;0.32982;0;21.89;0;0.624;5.822;95.4;24.699;4;437;21.2;388.69;15.03
Somerville;-7.107.600.000.000.000;422.405;15.6;0.97617;0;21.89;0;0.624;57.570.000.000.000.000;98.4;2.346;4;437;21.2;262.76;17.31
Somerville;-71.075;422.362;18.1;0.55778;0;21.89;0;0.624;6.335;98.2;21.107;4;437;21.2;394.67;16.96
Somerville;-710.677;422.335;17.4;0.32264;0;21.89;0;0.624;5.942;93.5;19.669;4;437;21.2;378.25;16.9
Somerville;-71.063;422.325;17.1;0.35233000000000003;0;21.89;0;0.624;6.454;98.4;18.498;4;437;21.2;394.08;14.59
Somerville;-71.062;422.275;13.3;0.2498;0;21.89;0;0.624;5.857;98.2;16.686;4;437;21.2;392.04;21.32
Somerville;-710.568;42.23;17.8;0.54452;0;21.89;0;0.624;6.151;97.9;16.687;4;437;21.2;396.9;18.46
Somerville;-710.518;422.312;14;0.2909;0;21.89;0;0.624;6.174;93.6;16.119;4;437;21.2;388.08;24.16
Somerville;-710.543;422.265;14.4;162.864;0;21.89;0;0.624;5.019;100;14.394;4;437;21.2;396.9;34.41
Cambridge;-71.048;422.222;13.4;332.105;0;19.58;1;0.871;5.403;100;13.216;5;403;14.7;396.9;26.82
Cambridge;-710.519;42.223;15.6;40.974;0;19.58;0;0.871;5.468;100;14.118;5;403;14.7;396.9;26.42
Cambridge;-71.051;422.205;11.8;27.797.400.000.000.000;0;19.58;0;0.871;49.030.000.000.000.000;97.8;13.459;5;403;14.7;396.9;29.29
Cambridge;-71.054;42.218.999.999.999.900;13.8;237.934;0;19.58;0;0.871;6.13;100;14.191;5;403;14.7;172.91;27.8
Cambridge;-71.059;42.221.000.000.000.000;15.6;215.505;0;19.58;0;0.871;5.627.999.999.999.990;100;15.166;5;403;14.7;169.27;16.65
Cambridge;-710.555;422.222;14.6;236.862;0;19.58;0;0.871;4.926;95.7;14.608;5;403;14.7;391.71;29.53
Cambridge;-710.567;42.224;17.8;23.309.900.000.000.000;0;19.58;0;0.871;5.186;93.8;15.296;5;403;14.7;356.99;28.32
Cambridge;-71.058;42.223;15.4;273.397;0;19.58;0;0.871;5.597;94.9;15.257;5;403;14.7;351.85;21.45
Cambridge;-71.062;422.236;21.5;16.566;0;19.58;0;0.871;6.122.000.000.000.000;97.3;1.618;5;403;14.7;372.8;14.1
Cambridge;-710.622;422.205;19.6;149.632;0;19.58;0;0.871;5.404;100;15.916;5;403;14.7;341.6;13.28
Cambridge;-71.059;42.217;15.3;112.658;0;19.58;1;0.871;5.012;88;16.102;5;403;14.7;343.28;12.12
Cambridge;-710.645;42.215;19.4;214.918;0;19.58;0;0.871;5.709;98.5;16.232;5;403;14.7;261.95;15.79
Cambridge;-710.662;422.162;17;141.385;0;19.58;1;0.871;6.129;96;17.494;5;403;14.7;321.02;15.12
Cambridge;-71.068;42.215;15.6;353.501;0;19.58;1;0.871;6.152;82.6;17.455;5;403;14.7;88.01;15.02
Cambridge;-710.667;42.22;13.1;244.668;0;19.58;0;0.871;5.272;94;17.364;5;403;14.7;88.63;16.14
Cambridge;-71.069;422.285;41.3;122.358;0;19.58;0;0.605;6.943;97.4;18.773;5;403;14.7;363.43;4.59
Cambridge;-71.067;422.245;24.3;134.284;0;19.58;0;0.605;6.066;100;17.573;5;403;14.7;353.89;6.43
Cambridge;-71.065;422.223;23.3;14.250.200.000.000.000;0;19.58;0;0.871;6.51;100;17.659;5;403;14.7;364.31;7.39
Cambridge;-71.07;422.214;27;127.346;0;19.58;1;0.605;6.25;92.6;17.984;5;403;14.7;338.92;5.5
Cambridge;-710.735;422.282;50;146.336;0;19.58;0;0.605;7.489;90.8;19.709;5;403;14.7;374.43;1.73
Cambridge;-71.077;42.225;50;183.377;0;19.58;1;0.605;7.802;98.2;20.407;5;403;14.7;389.61;1.92
Cambridge;-710.815;42.225;50;151.902;0;19.58;1;0.605;8.375;93.9;2.162;5;403;14.7;388.45;3.32
Cambridge;-710.918;422.265;22.7;224.236;0;19.58;0;0.605;5.854;91.8;24.219.999.999.999.900;5;403;14.7;395.11;11.64
Cambridge;-71.082;422.295;25;2.924;0;19.58;0;0.605;6.101;93;22.834;5;403;14.7;240.16;9.81
Cambridge;-71.077;422.305;50;201.019;0;19.58;0;0.605;79.289.999.999.999.900;96.2;20.459;5;403;14.7;369.3;3.7
Cambridge;-710.866;422.345;23.8;180.028;0;19.58;0;0.605;5.877.000.000.000.000;79.2;24.259;5;403;14.7;227.61;12.14
Cambridge;-71.074;422.331;23.8;23.004;0;19.58;0;0.605;6.319;96.1;2.1;5;403;14.7;297.09;11.1
Cambridge;-710.775;422.351;22.3;244.953;0;19.58;0;0.605;6.402;95.2;22.625;5;403;14.7;330.04;11.32
Cambridge;-71.081;422.368;17.4;12.074.200.000.000.000;0;19.58;0;0.605;5.875;94.6;24.259;5;403;14.7;292.29;14.43
Cambridge;-710.792;42.239;19.1;23.139;0;19.58;0;0.605;5.88;97.3;23.887;5;403;14.7;348.13;12.03
Arlington;-71.087;422.416;23.1;0.13914;0;4.05;0;0.51;5.572;88.5;25.961;5;296;16.6;396.9;14.69
Arlington;-710.855;42.245;23.6;0.09178;0;4.05;0;0.51;6.416;84.1;26.463;5;296;16.6;395.5;9.04
Arlington;-710.833;422.475;22.6;0.08447;0;4.05;0;0.51;5.859;68.7;27.019;5;296;16.6;393.23;9.64
Arlington;-71.094;422.575;29.4;0.06663999999999999;0;4.05;0;0.51;6.546;33.1;31.323;5;296;16.6;390.96;5.33
Arlington;-711.125;42.255;23.2;0.07022;0;4.05;0;0.51;6.02;47.2;35.549;5;296;16.6;393.23;10.11
Arlington;-7.110.600.000.000.000;422.512;24.6;0.05425;0;4.05;0;0.51;6.315;73.4;33.175;5;296;16.6;395.6;6.29
Arlington;-710.965;42.247;29.9;0.06642;0;4.05;0;0.51;6.86;74.4;29.153;5;296;16.6;391.27;6.92
Belmont;-71.1;422.408;37.2;0.0578;0;2.46;0;0.488;6.98;58.4;28.289.999.999.999.900;3;193;17.8;396.9;5.04
Belmont;-710.995;422.345;39.8;0.06588;0;2.46;0;0.488;7.765;83.3;2.741;3;193;17.8;395.56;7.56
Belmont;-710.966;422.282;36.2;0.06888;0;2.46;0;0.488;6.144;62.2;25.979;3;193;17.8;396.9;9.45
Belmont;-711.005;422.287;37.9;0.09103;0;2.46;0;0.488;7.155;92.2;27.006;3;193;17.8;394.12;4.82
Belmont;-711.065;42.23;32.5;0.10008;0;2.46;0;0.488;6.563;95.6;2.847;3;193;17.8;396.9;5.68
Belmont;-71.112;42.23;26.4;0.08308;0;2.46;0;0.488;5.604;89.8;29.879;3;193;17.8;391;13.98
Belmont;-711.175;42.235;29.6;0.06047;0;2.46;0;0.488;6.153;68.8;32.797;3;193;17.8;387.11;13.15
Belmont;-711.115;422.442;50;0.056020000000000014;0;2.46;0;0.488;7.831;53.6;31.992;3;193;17.8;392.63;4.45
Lexington;-71.122;422.565;32;0.07875;45;3.44;0;0.4370000000000001;6.782;41.1;37.886;5;398;15.2;393.87;6.68
Lexington;-711.408;42.255;29.8;0.12579;45;3.44;0;0.4370000000000001;6.556;29.1;45.667;5;398;15.2;382.84;4.56
Lexington;-71.145;422.651;34.9;0.0837;45;3.44;0;0.4370000000000001;7.185;38.9;45.667;5;398;15.2;396.9;5.39
Lexington;-711.216;42.27;33;0.09068;45;3.44;0;0.4370000000000001;69.510.000.000.000.000;21.5;64.798;5;398;15.2;377.68;5.1
Lexington;-711.485;422.765;30.5;0.06911;45;3.44;0;0.4370000000000001;6.739;30.8;64.798;5;398;15.2;389.71;4.69
Lexington;-71.134;422.785;36.4;0.08664;45;3.44;0;0.4370000000000001;7.178;26.3;64.798;5;398;15.2;390.49;2.87
Bedford;-711.525;42.3;31.1;0.02187;60;2.93;0;0.401;6.8;9.9;62.196;1;265;15.6;393.37;5.03
Bedford;-711.633;42.303.000.000.000.000;29.1;0.01439;60;2.93;0;0.401;6.604;18.8;62.196;1;265;15.6;376.7;4.38
Lincoln;-71.189;422.525;50;0.01381;80;0.46;0;0.422;7.875;32;56.484;4;255;14.4;394.23;2.97
Concord;-71.22;422.715;33.3;0.04011;80;1.52;0;0.404;7.287.000.000.000.000;34.1;7.309;2;329;12.6;396.9;4.08
Concord;-71.24;422.725;30.3;0.04666;80;1.52;0;0.404;7.107;36.6;7.309;2;329;12.6;354.31;8.61
Concord;-71.222;42.288.999.999.999.900;34.6;0.03768;80;1.52;0;0.404;7.274;38.3;7.309;2;329;12.6;392.2;6.62
Sudbury;-71.244;422.425;34.9;0.0315;95;1.47;0;0.403;6.975;15.3;76.534;3;402;17;396.9;4.56
Sudbury;-71.263;422.225;32.9;0.01778;95;1.47;0;0.403;7.135;13.9;76.534;3;402;17;384.3;4.45
Wayland;-712.185;421.955;24.1;0.03445;82.5;2.03;0;0.415;6.162.000.000.000.000;38.4;6.27;2;348;14.7;393.77;7.43
Wayland;-71.214;42.218;42.3;0.02177;82.5;2.03;0;0.415;7.61;15.7;6.27;2;348;14.7;395.38;3.11
Weston;-71.199;42.232;48.5;0.0351;95;2.68;0;0.4161;7.853;33.2;5.118;4;224;14.7;392.78;3.81
Weston;-71.199;422.058;50;0.02009;95;2.68;0;0.4161;8.033.999.999.999.990;31.9;5.118;4;224;14.7;390.55;2.88
Waltham;-711.475;422.445;22.6;0.13642;0;10.59;0;0.489;5.891;22.3;39.454;4;277;18.6;396.9;10.87
